%time,field.header.seq,field.header.stamp,field.header.frame_id,field.d,field.d_ref,field.sigma_d,field.phi,field.phi_ref,field.sigma_phi,field.curvature,field.curvature_ref,field.v_ref,field.status,field.in_lane
1571197784019826282,25591,1571197783791201114,,0.0,0.0,0.0,0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197784098508782,25592,1571197783864027976,,0.10000000149,0.0,0.0,-0.550000011921,0.0,0.0,0.0,0.0,0.0,0,1
1571197784204578469,25593,1571197783931818962,,0.140000000596,0.0,0.0,-0.949999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197784234642324,25594,1571197784021627902,,0.019999999553,0.0,0.0,-0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197784332445917,25595,1571197784140932083,,0.019999999553,0.0,0.0,-0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197784439026490,25596,1571197784168649911,,0.019999999553,0.0,0.0,-0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197784499912063,25597,1571197784280138969,,0.0599999986589,0.0,0.0,-0.649999976158,0.0,0.0,0.0,0.0,0.0,0,1
1571197784557109823,25598,1571197784352742910,,0.0599999986589,0.0,0.0,-0.649999976158,0.0,0.0,0.0,0.0,0.0,0,1
1571197784682726073,25599,1571197784403914928,,0.0599999986589,0.0,0.0,-0.649999976158,0.0,0.0,0.0,0.0,0.0,0,1
1571197784753505292,25600,1571197784563045978,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197784861930709,25601,1571197784634802103,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197784935788729,25602,1571197784704009056,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197784988073886,25603,1571197784802742958,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197785081563417,25604,1571197784896716117,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197785158079771,25605,1571197784962950944,,0.0599999986589,0.0,0.0,-0.649999976158,0.0,0.0,0.0,0.0,0.0,0,1
1571197785274483781,25606,1571197785044147968,,0.0599999986589,0.0,0.0,-0.649999976158,0.0,0.0,0.0,0.0,0.0,0,1
1571197785375178521,25607,1571197785111892938,,0.0599999986589,0.0,0.0,-0.550000011921,0.0,0.0,0.0,0.0,0.0,0,1
1571197785457270865,25608,1571197785264384031,,0.019999999553,0.0,0.0,-0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197785567249875,25609,1571197785296313047,,0.019999999553,0.0,0.0,-0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197785824822271,25610,1571197785689924955,,0.019999999553,0.0,0.0,-0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197785893658052,25611,1571197785728595972,,0.019999999553,0.0,0.0,-0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197785997963312,25612,1571197785795418024,,0.019999999553,0.0,0.0,-0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197786071103833,25613,1571197785862960100,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197786144612948,25614,1571197785934379100,,0.019999999553,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
